sentence_number,sentence_text
36,"JAPAN TO REVISE LONG - TERM ENERGY DEMAND DOWNWARDS The Ministry of International Trade and Industry ( MITI ) will revise its long - term energy supply / demand outlook by August to meet a forecast downtrend in Japanese energy demand , ministry officials said ."
37,"MITI is expected to lower the projection for primary energy supplies in the year 2000 to 550 mln kilolitres ( kl ) from 600 mln , they said ."
38,The decision follows the emergence of structural changes in Japanese industry following the rise in the value of the yen and a decline in domestic electric power demand .
39,"MITI is planning to work out a revised energy supply / demand outlook through deliberations of committee meetings of the Agency of Natural Resources and Energy , the officials said ."
40,"They said MITI will also review the breakdown of energy supply sources , including oil , nuclear , coal and natural gas ."
41,"Nuclear energy provided the bulk of Japan ' s electric power in the fiscal year ended March 31 , supplying an estimated 27 pct on a kilowatt / hour basis , followed by oil ( 23 pct ) and liquefied natural gas ( 21 pct ), they noted ."
42,"THAI TRADE DEFICIT WIDENS IN FIRST QUARTER Thailand ' s trade deficit widened to 4 . 5 billion baht in the first quarter of 1987 from 2 . 1 billion a year ago , the Business Economics Department said ."
43,It said Janunary / March imports rose to 65 . 1 billion baht from 58 . 7 billion .
44,Thailand ' s improved business climate this year resulted in a 27 pct increase in imports of raw materials and semi - finished products .
45,"The country ' s oil import bill , however , fell 23 pct in the first quarter due to lower oil prices ."
46,The department said first quarter exports expanded to 60 . 6 billion baht from 56 . 6 billion .
47,"Export growth was smaller than expected due to lower earnings from many key commodities including rice whose earnings declined 18 pct , maize 66 pct , sugar 45 pct , tin 26 pct and canned pineapples seven pct ."
48,"Products registering high export growth were jewellery up 64 pct , clothing 57 pct and rubber 35 pct ."
49,"INDONESIA SEES CPO PRICE RISING SHARPLY Indonesia expects crude palm oil ( CPO ) prices to rise sharply to between 450 and 550 dlrs a tonne FOB sometime this year because of better European demand and a fall in Malaysian output , Hasrul Harahap , junior minister for tree crops , told Indonesian reporters ."
50,"Prices of Malaysian and Sumatran CPO are now around 332 dlrs a tonne CIF for delivery in Rotterdam , traders said ."
51,"Harahap said Indonesia would maintain its exports , despite making recent palm oil purchases from Malaysia , so that it could possibly increase its international market share ."
52,"Indonesia , the world ' s second largest producer of palm oil after Malaysia , has been forced to import palm oil to ensure supplies during the Moslem fasting month of Ramadan ."
53,Harahap said it was better to import to cover a temporary shortage than to lose export markets .
54,"Indonesian exports of CPO in calendar 1986 were 530 , 500 tonnes , against 468 , 500 in 1985 , according to central bank figures ."
55,"AUSTRALIAN FOREIGN SHIP BAN ENDS BUT NSW PORTS HIT Tug crews in New South Wales ( NSW ), Victoria and Western Australia yesterday lifted their ban on foreign - flag ships carrying containers but NSW ports are still being disrupted by a separate dispute , shipping sources said ."
56,"The ban , imposed a week ago over a pay claim , had prevented the movement in or out of port of nearly 20 vessels , they said ."
57,The pay dispute went before a hearing of the Arbitration Commission today .
58,"Meanwhile , disruption began today to cargo handling in the ports of Sydney , Newcastle and Port Kembla , they said ."
59,The industrial action at the NSW ports is part of the week of action called by the NSW Trades and Labour Council to protest changes to the state ' s workers ' compensation laws .
60,The shipping sources said the various port unions appear to be taking it in turn to work for a short time at the start of each shift and then to walk off .
61,"Cargo handling in the ports has been disrupted , with container movements most affected , but has not stopped altogether , they said ."
62,They said they could not say how long the disruption will go on and what effect it will have on shipping movements .
63,"INDONESIAN COMMODITY EXCHANGE MAY EXPAND The Indonesian Commodity Exchange is likely to start trading in at least one new commodity , and possibly two , during calendar 1987 , exchange chairman Paian Nainggolan said ."
64,"He told Reuters in a telephone interview that trading in palm oil , sawn timber , pepper or tobacco was being considered ."
65,Trading in either crude palm oil ( CPO ) or refined palm oil may also be introduced .
66,But he said the question was still being considered by Trade Minister Rachmat Saleh and no decision on when to go ahead had been made .
67,The fledgling exchange currently trades coffee and rubber physicals on an open outcry system four days a week .
68,""" Several factors make us move cautiously ,"" Nainggolan said ."
69,""" We want to move slowly and safely so that we do not make a mistake and undermine confidence in the exchange ."""
70,"Physical rubber trading was launched in 1985 , with coffee added in January 1986 ."
71,"Rubber contracts are traded FOB , up to five months forward ."
72,"Robusta coffee grades four and five are traded for prompt delivery and up to five months forward , exchange officials said ."
73,"The trade ministry and exchange board are considering the introduction of futures trading later for rubber , but one official said a feasibility study was needed first ."
74,"No decisions are likely until after Indonesia ' s elections on April 23 , traders said ."
75,"Trade Minister Saleh said on Monday that Indonesia , as the world ' s second largest producer of natural rubber , should expand its rubber marketing effort and he hoped development of the exchange would help this ."
76,Nainggolan said that the exchange was trying to boost overseas interest by building up contacts with end - users .
77,"He said teams had already been to South Korea and Taiwan to encourage direct use of the exchange , while a delegation would also visit Europe , Mexico and some Latin American states to encourage participation ."
78,Officials say the infant exchange has made a good start although trading in coffee has been disappointing .
79,"Transactions in rubber between the start of trading in April 1985 and December 1986 totalled 9 , 595 tonnes , worth 6 . 9 mln dlrs FOB , plus 184 . 3 mln rupiah for rubber delivered locally , the latest exchange report said ."
80,"Trading in coffee in calendar 1986 amounted to only 1 , 905 tonnes in 381 lots , valued at 6 . 87 billion rupiah ."
81,Total membership of the exchange is now nine brokers and 44 traders .
82,"SRI LANKA GETS USDA APPROVAL FOR WHEAT PRICE Food Department officials said the U . S . Department of Agriculture approved the Continental Grain Co sale of 52 , 500 tonnes of soft wheat at 89 U . S . Dlrs a tonne C and F from Pacific Northwest to Colombo ."
83,They said the shipment was for April 8 to 20 delivery .
84,WESTERN MINING TO OPEN NEW GOLD MINE IN AUSTRALIA Western Mining Corp Holdings Ltd & lt ; WMNG . S > ( WMC ) said it will establish a new joint venture gold mine in the Northern Territory at a cost of about 21 mln dlrs .
85,"The mine , to be known as the Goodall project , will be owned 60 pct by WMC and 40 pct by a local W . R . Grace and Co & lt ; GRA > unit ."
86,It is located 30 kms east of the Adelaide River at Mt .
87,"Bundey , WMC said in a statement It said the open - pit mine , with a conventional leach treatment plant , is expected to produce about 50 , 000 ounces of gold in its first year of production from mid - 1988 ."
88,"Annual ore capacity will be about 750 , 000 tonnes ."
89,"SUMITOMO BANK AIMS AT QUICK RECOVERY FROM MERGER Sumitomo Bank Ltd & lt ; SUMI . T > is certain to lose its status as Japan ' s most profitable bank as a result of its merger with the Heiwa Sogo Bank , financial analysts said ."
90,"Osaka - based Sumitomo , with desposits of around 23 . 9 trillion yen , merged with Heiwa Sogo , a small , struggling bank with an estimated 1 . 29 billion dlrs in unrecoverable loans , in October ."
91,"But despite the link - up , Sumitomo President Koh Komatsu told Reuters he is confident his bank can quickly regain its position ."
92,""" We ' ll be back in position in first place within three years ,"" Komatsu said in an interview ."
93,"He said that while the merger will initially reduce Sumitomo ' s profitability and efficiency , it will vastly expand Sumitomo ' s branch network in the Tokyo metropolitan area where it has been relatively weak ."
94,But financial analysts are divided on whether and how quickly the gamble will pay off .
95,Some said Sumitomo may have paid too much for Heiwa Sogo in view of the smaller bank ' s large debts .
96,Others argue the merger was more cost effective than creating a comparable branch network from scratch .
97,The analysts agreed the bank was aggressive .
98,"It has expanded overseas , entered the lucrative securities business and geared up for domestic competition , but they questioned the wisdom of some of those moves ."
99,""" They ' ve made bold moves to put everything in place ."
100,"Now it ' s largely out of their hands ,"" said Kleinwort Benson Ltd financial analyst Simon Smithson ."
101,"Among Sumitomo ' s problems are limits placed on its move to enter U . S . Securities business by taking a share in American investment bank Goldman , Sachs and Co . Sumitomo last August agreed to pay 500 mln dlrs for a 12 . 5 pct limited partnership in the bank , but for the time being at least , the Federal Reserve Board has forbidden them to exchange personnel , or increase the business they do with each other ."
102,""" The tie - up is widely looked on as a lame duck because the Fed was stricter than Sumitomo expected ,"" said one analyst ."
103,But Komatsu said the move will pay off in time .
104,""" U . S ."
105,"Regulations will change in the near future and if so , we can do various things ."
106,"We only have to wait two or three years , not until the 21st century ,"" Komatsu said ."
107,Komatsu is also willing to be patient about possible routes into the securities business at home .
108,"Article 65 of the Securities and Exchange Act , Japan ' s version of the U . S . Glass - Steagall Act , separates commercial from investment banking ."
109,But the walls between the two are crumbling and Komatsu said he hopes further deregulation will create new opportunities .
110,""" We need to find new business chances ,"" Komatsu said ."
111,""" In some cases these will be securities related , in some cases trust bank related ."
112,"That ' s the kind of deregulation we want ."""
113,"Until such changes occur , Sumitomo will focus on such domestic securities business as profitable government bond dealing and strengthening relations with Meiko Securities Co Ltd , in which it holds a five pct share , Komatsu said ."
114,"He said Sumitomo is cautiously optimistic about entering the securities business here through its Swiss universal bank subsidiary , Banca del Gottardo ."
115,"The Finance Ministry is expected to grant licences to securities subsidiaries of U . S . Commercial banks soon , following a similar decision for subsidiaries of European universal banks in which the parent holds a less than 50 pct ."
116,But Komatsu is reluctant to push hard for a similar decision on a Gottardo subsidiary .
117,""" We don ' t want to make waves ."
118,"We expect this will be allowed in two or three years ,"" he said ."
119,"Like other city banks , Sumitomo is also pushing to expand lending to individuals and small and medium businesses to replace disappearing demand from big business , he added ."
120,"The analysts said Sumitomo will have to devote a lot of time to digesting its most recent initiatives , including the merger with ailing Heiwa Sogo ."
121,""" It ' s ( Sumitomo ) been bold in its strategies ,"" said Kleinwort ' s Smithson ."
122,""" After that , it ' s a question of absorbing and juggling around ."
123,"It will be the next decade before we see if the strategy is right or wrong ."""
124,"SUBROTO SAYS INDONESIA SUPPORTS TIN PACT EXTENSION Mines and Energy Minister Subroto confirmed Indonesian support for an extension of the sixth International Tin Agreement ( ITA ), but said a new pact was not necessary ."
125,"Asked by Reuters to clarify his statement on Monday in which he said the pact should be allowed to lapse , Subroto said Indonesia was ready to back extension of the ITA ."
126,""" We can support extension of the sixth agreement ,"" he said ."
127,""" But a seventh accord we believe to be unnecessary ."""
128,The sixth ITA will expire at the end of June unless a two - thirds majority of members vote for an extension .
129,"BUNDESBANK ALLOCATES 6 . 1 BILLION MARKS IN TENDER The Bundesbank accepted bids for 6 . 1 billion marks at today ' s tender for a 28 - day securities repurchase pact at a fixed rate of 3 . 80 pct , a central bank spokesman said ."
130,"Banks , which bid for a total 12 . 2 billion marks liquidity , will be credited with the funds allocated today and must buy back securities pledged on May 6 ."
131,"Some 14 . 9 billion marks will drain from the market today as an earlier pact expires , so the Bundesbank is effectively withdrawing a net 8 . 1 billion marks from the market with today ' s allocation ."
132,"A Bundesbank spokesman said in answer to enquiries that the withdrawal of funds did not reflect a tightening of credit policy , but was to be seen in the context of plentiful liquidity in the banking system ."
133,"Banks held an average 59 . 3 billion marks at the Bundesbank over the first six days of the month , well clear of the likely April minimum reserve requirement of 51 billion marks ."
134,"The Bundesbank spokesman noted that by bidding only 12 . 2 billion marks , below the outgoing 14 . 9 billion , banks themselves had shown they felt they had plenty of liquidity ."
135,"Dealers said the Bundesbank is keen to prevent too much liquidity accruing in the market , as that would blunt the effectiveness of the security repurchase agreement , its main open - market instrument for steering market interest rates ."
136,Two further pacts are likely this month over the next two weeks .
137,"The Bundesbank is currently steering call money between 3 . 6 and 3 . 8 pct , although short - term fluctuations outside that range are possible , dealers said ."
138,"BOND CORP STILL CONSIDERING ATLAS MINING BAIL - OUT Bond Corp Holdings Ltd & lt ; BONA . S > and Atlas Consolidated Mining and Development Corp & lt ; ATLC . MN > are still holding talks on a bail - out package for the troubled mining firm , an Atlas statement said ."
139,"Atlas , the Philippines ' biggest copper producer , said it had been hit by depressed world copper prices ."
140,"It reported a net loss of 976 . 38 mln pesos in the year ending December 1986 , compared with a net loss of 1 . 53 billion in 1985 ."
141,The company said it had been able to cut its losses because its scaled - down copper operations in the central island of Cebu started in the second half of 1986 .
142,Atlas said negotiations were continuing on the acquisition by Bond of the company ' s existing bank loans and their restructuring into a gold loan .
143,"A memorandum of understanding signed by the two sides in October last year said Bond would acquire Atlas ' total loans of 275 mln dlrs , to be repaid by the mining company in gold ."
144,Atlas said the two sides were also discussing equity infusion into Atlas and the creation of a development fund for further exploration and development of the company ' s gold properties in the central province of Masbate .
145,"Wilson Banks , general manager of & lt ; Bond Corp International Ltd > in Hong Kong , told Reuters the Atlas statement on the negotiations was "" reasonably accurate ."""
146,Banks said Bond Corp was seriously considering several investments in the Philippines but did not give details .
147,"In its statement , Atlas said development of the pre - World War Two underground mines in Masbate had been accelerated and the ore tonnage had increased , extending the operation ' s life at least until 1993 ."
148,"CHINA INDUSTRIAL OUTPUT RISES IN FIRST QUARTER China ' s industrial output rose 14 . 1 pct in the first quarter of 1987 against the same 1986 period , the People ' s Daily said ."
149,"Its overseas edition said the growth rate , which compares with a target of seven pct for the whole of 1987 , was "" rather high "" but the base in the first quarter of 1986 was on the low side ."
150,Industrial output grew 4 . 4 pct in the first quarter of 1986 .
151,It said China ' s industrial production this year has been normal but product quality and efficiency need further improvement .
152,It gave no further details .
153,"JAPAN MINISTRY SAYS OPEN FARM TRADE WOULD HIT U . S . Japan ' s Agriculture Ministry , angered by U . S ."
154,"Demands that Japan open its farm products market , will tell U . S . Officials at talks later this month that liberalisation would harm existing U . S . Farm exports to Japan , a senior ministry official said ."
155,""" Imports from the U . S . Would drop due to active sales drives by other suppliers ,"" the official , who declined to be named , said ."
156,""" Japan is the largest customer for U . S . Farm products and it is not reasonable for the U . S . To demand Japan liberalise its farm import market ,"" he said ."
157,Agriculture Minister Mutsuki Kato has said if the U . S .
158,"Insists Japan open its protected rice market it will also open its wheat market , where volume and origin are regulated to protect local farmers ."
159,"Australia and Canada could then increase their wheat exports as they are more competitive than the U . S ., He said ."
160,"End - users would also buy other origins , grain traders said ."
161,"U . S . Agriculture Secretary Richard Lyng , who is due to visit Japan for talks between April 16 - 27 , has said he will ask Japan to offer a share of its rice market to U . S ."
162,Suppliers and remove quotas on U . S .
163,Beef and citrus imports .
164,Other countries are already cutting into the U . S . Market share here .
165,"Australia , the largest beef supplier to Japan , has been trying to boost exports prior to the expiry of a four - year beef accord next March 31 ."
166,"Imports of U . S . Corn have fallen due to increased sales from China and South America , while Japanese soybean imports from Brazil are expected to rise sharply this year , although the U . S . Will remain the largest supplier ."
167,"U . S . Feedgrain sales will also drop if Japan opens up its beef imports , since Japan depends almost entirely on feedgrain imports , mainly from the U . S ., Japanese officials said ."
168,An indication of the U . S .
169,Position came last December when Under Secretary of Agriculture Daniel Amstutz said Japan has the potential to provide one of the largest boosts to U . S .
170,"Agricultural exports , with the beef market alone representing some one billion dlrs in new business ."
171,"The U . S . Has also asked the General Agreement on Tariffs and Trade to investigate the legality of Japanese import controls on 12 other farm products , including fruit juices , purees and pulp , tomato juice , ketchup and sauce , peanuts , prepared beef products and miscellaneous beans ."
172,"To help calm heated trade relations with the U . S ., Japan ' s top business group Keidanren has urged the government to remove residual import restrictions on agricultural products ."
173,"But Agriculture Minister Kato has ruled out any emotional reaction , and the senior ministry official said the farm issue should not become a scapegoat for trade pressure in the industrial sector ."
174,""" Japan is the largest buyer of U . S . Farm products , and these issues should not be discussed on the same table ,"" the official said ."
175,AMATIL PROPOSES TWO - FOR - FIVE BONUS SHARE ISSUE Amatil Ltd & lt ; AMAA . S > said it proposes to make a two - for - five bonus issue out of its revaluation reserve to shareholders registered May 26 .
176,"Shareholders will be asked to approve the issue and an increase in authorised capital to 175 mln shares from 125 mln at a general meeting on May 1 , it said in a statement ."
177,The new shares will rank for dividends declared after October 31 .
178,"Amatil , in which B . A . T ."
179,"Industries Plc & lt ; BTI . L > holds a 41 pct stake , said it does not expect to maintain its latest annual dividend rate of 29 cents a share on the enlarged capital ."
180,BOWATER 1986 PRETAX PROFITS RISE 15 . 6 MLN STG Shr 27 . 7p vs 20 . 7p Div 6 . 0p vs 5 . 5p making 10 . 0p vs 9 . 25p Turnover 1 . 34 billion stg vs 1 . 29 billion Pretax profit 48 . 0 mln vs 32 . 4 mln Tax 14 . 4 mln vs 6 . 9 mln Company name is Bowater Industries Plc & lt ; BWTR . L > Trading profit 63 . 4 mln vs 45 . 1 mln Trading profit includes - Packaging and associated products 23 . 2 mln vs 14 . 2 mln Merchanting and services 18 . 4 mln vs 9 . 6 mln Tissue and timber products 9 . 0 mln vs 5 . 8 mln Interest debit 15 . 4 mln vs 12 . 7 mln Minority interests 7 . 0 mln debit vs 6 . 2 mln debit Extraordinary items 15 . 4 mln credit vs 11 . 9 mln debit
181,U . K . MONEY MARKET DEFICIT FORECAST AT 250 MLN STG The Bank of England said it forecast a shortage of around 250 mln stg in the money market today .
182,"Among the main factors affecting liquidity , bills maturing in official hands and the take - up of treasury bills will drain some 505 mln stg , while bills for repurchase by the market will remove around 194 mln ."
183,"In addition , a rise in note circulation and bankers ' balances below target will each drain around 110 mln stg ."
184,"Partly offsetting these outflows , exchequer transactions will add some 690 mln stg to the system today ."
185,"SOUTH KOREA MOVES TO SLOW GROWTH OF TRADE SURPLUS South Korea ' s trade surplus is growing too fast and the government has started taking steps to slow it down , Deputy Prime Minister Kim Mahn - je said ."
186,"He told a press conference the government planned to increase investment , speed up the opening of the local market to foreign imports and gradually adjust its currency to hold the surplus "" at a proper level ."""
187,But he said the government would not allow the won to appreciate too much in a short period of time .
188,South Korea has been under pressure from Washington to revalue the won .
189,The U . S .
190,"Wants South Korea to cut its trade surplus with the U . S ., Which rose to 7 . 4 billion dlrs in 1986 from 4 . 3 billion dlrs in 1985 ."
191,"Kim , who is also economic planning minister , said prospects were bright for the South Korean economy , but the government would try to hold the current account surplus to around five billion dlrs a year for the next five years ."
192,""" Our government projections of eight pct GNP growth , five billion dlrs of ( current account ) surplus and 12 pct growth in exports all seemed to be reasonable early this year ."
193,"But now the surplus is growing faster than we expected ,"" he said ."
194,"Trade ministry officials said South Korea ' s exports rose 35 pct to 9 . 34 billion dlrs in the first three months of this year , while imports rose only 8 . 5 pct to 8 . 2 billion dlrs ."
195,Kim said the swing of South Korea ' s current account to a surplus of 4 . 65 billion dlrs in 1986 from an 890 mln dlr deficit in 1985 was very significant .
196,The surplus enabled the country to reduce its foreign debt last year for the first time .
197,"South Korea ' s foreign debt , which fell to 44 . 5 billion dlrs in 1986 from 46 . 8 billion in 1985 , is still among the largest in Asia ."
198,""" This huge amount of our foreign debt has been one of the major constraints on our development ... Last year was a major turning point for the Korean economy ,"" Kim said ."
199,"Kim said his government plannned to reduce the ratio of foreign debt to the country ' s GNP to about 20 pct in 1991 , from about 50 pct in 1986 ."
200,""" The government , however , does not want to accelerate reducing the debt by making an excessive trade surplus ,"" he said ."
201,"Kim said a sudden rise in the surplus would cause inflation and lead to trade friction with Seoul ' s major trading partners , particularly the United States ."
202,""" We need a surplus because we have to reduce our debt , but we are taking measures to hold the size of the surplus at a proper level ,"" Kim said ."
203,"FINNS AND CANADIANS TO STUDY MTBE PRODUCTION PLANT Finland ' s national oil company Neste Oy & lt ; NEOY . HE > said in a statement it had agreed with Canadian firms to study the feasibility of building a plant in Edmonton , Canada , to produce a replacement for lead in petrol ."
204,"The prospective plant would cost an estimated 270 mln Canadian dlrs and would produce methyl tertiary butyl ether ( MTBE ) from raw materials available locally , it said ."
205,"The partners in the study are Neste Oy , Celanese Canada Inc , Hoechst Celanese Corporation and Trade Mountain Pipe Line Company Ltd , of Vancouver , B . C ."
206,"The Edmonton site was suitable because of the raw materials availability , the proximity to pipeline transportation and the important capital and operating advantages gained by locating on an existing Celanese Canada site , the statement said ."
207,"The partners would look into the feasibility of a plant producing 500 , 000 tonnes per annum of MTBE , an octane enhancer that can replace tetra ethyl lead ."
208,"Most of the MTBE would be targeted for the United States where lead levels in gasoline are being lowered because of health concerns , the statement added ."
209,"Canadian lead limits are currently 11 times as high as the U . S . Limit but lead is scheduled for virtual elimination in Canada by 1993 , which should create a Canadian demand for MTBE , it said ."
210,"Finland ' s Neste Oy , whose turnover last year was over five billion dlrs , has extensive experience with MTBE ."
211,It has a major investment in an MTBE plant in Saudi Arabia .
212,"The Edmonton , Alberta plant would be scheduled to go on stream in late 1989 , the statement said ."
213,"CRA SOLD FORREST GOLD FOR 76 MLN DLRS - WHIM CREEK & lt ; Whim Creek Consolidated NL > said the consortium it is leading will pay 76 . 55 mln dlrs for the acquisition of CRA Ltd ' s & lt ; CRAA . S > & lt ; Forrest Gold Pty Ltd > unit , reported yesterday ."
214,CRA and Whim Creek did not disclose the price yesterday .
215,"Whim Creek will hold 44 pct of the consortium , while & lt ; Austwhim Resources NL > will hold 27 pct and & lt ; Croesus Mining NL > 29 pct , it said in a statement ."
216,"As reported , Forrest Gold owns two mines in Western Australia producing a combined 37 , 000 ounces of gold a year ."
217,It also owns an undeveloped gold project .
218,"GERMAN INDUSTRIAL EMPLOYMENT SEEN STAGNATING The number of workers employed in the West German industrial sector stagnated in the last quarter of 1986 as a 50 , 000 increase in overall employment benefited only the services branch , the DIW economic institute said ."
219,A DIW report added the general downturn in the economy since last Autumn had had a negative effect on the willingness of firms to take on workers .
220,It referred to a marked downturn in the number of workers taken on in the capital goods sector .
221,"New orders for manufacturing industry goods have mostly fallen or stagnated in recent months , but data for February finally showed a reversal of the trend , with a 1 . 9 pct rise ."
222,"BOWATER INDUSTRIES PROFIT EXCEED EXPECTATIONS Bowater Industries Plc & lt ; BWTR . L > 1986 pretax profits of 48 . 0 mln stg exceeded market expectations of around 40 mln and pushed the company ' s shares up sharply to a high of 491p from 468p last night , dealers said ."
223,The shares later eased back to 481p .
224,Bowater reported a 32 . 4 mln stg profit in 1985 .
225,The company said in a statement accompanying the results that the underlying trend showed improvement and it intended to expand further by developing existing businesses and seeking new opportunities .
226,"It added that it had appointed David Lyon , currently managing director of Redland Plc & lt ; RDLD . L > as its new chief executive ."
227,Analysts noted that Bowater ' s profits of 18 . 9 mln stg from 13 . 2 mln previously had been given a boost by pension benefits of 4 . 5 mln stg .
228,"Profit from Australia and the Far East showed the greatest percentage rise , jumping 55 . 0 pct to 15 . 5 mln from 10 . 0 mln , while the profit from U . K . Operations rose 30 . 7 pct to 24 . 7 mln , and Europe , 42 . 9 pct to 11 . 0 mln ."
229,"CITIBANK NORWAY UNIT LOSES SIX MLN CROWNS IN 1986 Citibank A / S & lt ; CCI . N >, the Norwegian subsidiary of the U . S .- based bank , said it made a net loss of just over six mln crowns in 1986 -- although foreign bankers said they expect it to show 1987 profits after two lean years ."
230,"Citibank ' s Oslo treasury head Bjoern Sejerstad told Reuters , Citibank , one of seven foreign bank subsidiaries operating in Norway , lost money because of restructuring for investment banking away from commercial banking and an economic slump in Norway following last year ' s plunge in oil prices ."
231,Foreign banks have been allowed to operate susbidiaries in Norway since 1985 .
232,"Foreign banking analysts in Oslo said access to Norway ' s second - hand securities and equities markets , to be approved later this spring , and lower primary reserve requirements would make profit this year ."
233,"Citibank lost 490 , 000 crowns in Norway in 1985 , but Sejerstad said a profit was likely this year because of planned liberalisation and better economic performance , helped by a steadier oil price of around 18 dlrs a barrel ."
234,"Earlier this year , Chase Manhattan Bank ' s & lt ; CMB . N > subsidiary decided to stop foreign exchange trading after heavy losses and focus instead on fee - based merchant banking ."
235,VIEILLE MONTAGNE SAYS 1986 CONDITIONS UNFAVOURABLE A sharp fall in the dollar price of zinc and the depreciation of the U . S . Currency created unfavourable economic conditions for Vieille Montagne SA & lt ; VMNB . BR > in 1986 .
236,It said in a statement that the two factors led to a squeeze on refining margins and an 18 . 24 pct fall in sales and services income despite an unchanged level of activity .
237,"Vieille Montagne , which is actively pursuing a restructuring program , reported a 198 mln franc net loss , after 187 mln francs in provisions for the closure of an electrolysis plant , compared with a 250 mln franc net profit in 1985 ."
238,"VIEILLE MONTAGNE REPORTS LOSS , DIVIDEND NIL 1986 Year Net loss after exceptional charges 198 mln francs vs profit 250 mln Exceptional provisions for closure of Viviez electrolysis Plant 187 mln francs vs exceptional gain 22 mln Sales and services 16 . 51 billion francs vs 20 . 20 billion Proposed net dividend on ordinary shares nil vs 110 francs Company ' s full name is Vieille Montagne SA & lt ; VMNB . BR >."
239,"EC MAINLY FOR TIN EXTENSION , NO U . K ."
